"AGEGE24","PCT_BLACK","PCT_HISPANIC","PCT_GRAD_PROF","PCT_BORN_US","MEDIAN_HH_INC","UNEMP_RATE","SD_EARN_WNE_P10","COUNT_WNE_INDEP0_P10","PCT75_EARN_WNE_P6","COUNT_WNE_INDEP0_INC1_P6","COUNT_WNE_MALE0_P6","PCT10_EARN_WNE_P8","COUNT_NWNE_P9","GT_25K_P9","Aggrcluster_labels"
0.319999993,9.75,11.32999992,9.149999619,88.12000275,66671.2,3.200000048,44700,2000,68600,231,450,18300,259,0.868455946,2
0.430000007,4.199999809,27.11000061,5.889999866,85.27999878,60869.63,3.49000001,27200,1660,41100,664,1844,7200,693,0.655387998,1
0.730000019,10.31999969,15.72000027,7.820000172,88.98000336,62877.37,3.5,40900,352,47700,36,8552,10900,80,0.766423345,2
0.689999998,4.610000134,32.40999985,7.260000229,81.05999756,55530.55,3.910000086,29100,402,51400,191,1005,4800,545,0.584666669,3
0.430000007,3.150000095,19.80999947,8.420000076,87.76999664,63155.06,3.150000095,32500,2491,43100,754,2321,6200,717,0.658812702,3
0.629999995,0.720000029,11.68000031,3.809999943,93.18000031,44384.44,3.700000048,25900,278,37000,215,1371,4200,181,0.497685194,1
0.409999996,7.429999828,12.73999977,7.550000191,89.12000275,62022.22,3.339999914,28400,3126,44600,862,224,7400,825,0.629941642,1
0.430000007,0.189999998,1.940000057,3.789999962,99.25,32363.14,10.85000038,18300,309,26400,165,382,3000,219,0.420204967,1
0.300000012,2.470000029,18.75,9.43999958,88.98999786,59985.62,3.930000067,31600,2774,47900,493,3484,9900,510,0.751188219,3
0.569999993,0.920000017,9.930000305,4.570000172,97.52999878,39948.81,7.130000114,34200,159,32400,85,417,3500,217,0.427816898,1
0.709999979,8.359999657,12.73999977,7.900000095,91.41999817,65346.8,3.039999962,39600,297,54800,39,811,11000,140,0.777032673,2
0.49000001,5.300000191,39.29999924,6.309999943,77.93000031,50868.19,4.170000076,30600,1181,39400,552,1414,6100,548,0.637772381,1
0.639999986,2.890000105,19.64999962,8.699999809,88.08000183,62086.42,3.25,19900,76,36200,18,124,2900,87,0.498525083,3
0.469999999,3.369999886,32.06000137,8.909999847,85.83999634,50427.11,3.519999981,26000,2744,38200,1182,3271,5900,1413,0.590729773,1
0.579999983,5.070000172,27.20999908,7.699999809,84.40000153,59572.48,3.650000095,22900,1630,38200,660,6737,5000,1020,0.56473279,1
0.579999983,5.070000172,27.20999908,7.699999809,84.40000153,59572.48,3.650000095,22900,1630,38200,660,6737,5000,1020,0.56473279,1
0.639999986,3.279999971,15.36999989,12.19999981,89.04000092,62739.99,3.230000019,23200,111,38000,15,236,5000,69,0.65903306,3
0.769999981,4,27.67000008,6.550000191,85.04000092,57880.38,3.799999952,29700,96,50800,32,2870.90384615385,7400,90,0.703896105,3
0.810000002,4.670000076,22.29000092,7.880000114,86.76000214,62743.54,3.200000048,31200,185,46800,71,2524,6400,269,0.648745537,3
0.409999996,4,12.06999969,10.07999992,88.81999969,63275.06,3.359999895,18600,1005.53873317149,42605.7426151622,246.163120567376,2870.90384615385,7870.1794231206,18,0.602409554380489,1
0.409999996,1.74000001,32.59000015,5.599999905,94.38999939,42963.02,4.670000076,17900,1005.53873317149,42605.7426151622,12,2870.90384615385,7870.1794231206,26,0.160714284,1
0.449999988,3.049999952,16.31999969,10.52999973,87.34999847,67477.78,3.089999914,43000,950,46600,260,811,6300,333,0.683969438,2
0.430000007,8.369999886,42.79999924,6.5,79.22000122,55144.14,4.179999828,26600,514,37800,233,631,6500,181,0.542949736,1
0.170000002,2.349999905,19.70999908,8.220000267,87.58999634,65520.64,3.049999952,28100,1005.53873317149,42100,20,65,7600,27,0.564885497,3
0.200000003,7.360000134,19.86000061,7.449999809,84.62999725,64889.67,3.779999971,28700,8882,48400,1977,229,11200,745,0.762386084,3
0.839999974,13.88000011,11.69999981,7.190000057,89.73999786,59120.06,3.700000048,37900,1030,66300,596,400,11400,70,0.847780108,2
0.49000001,5.46999979,43.15999985,4.619999886,77.76000214,51858.75,4.159999847,15100,169,23400,23,2870.90384615385,3400,39,0.349999994,1
0.529999971,0.939999998,11.09000015,7.239999771,93.26999664,48093.18,3.200000048,25300,412,38200,201,653,4400,300,0.521628499,1
0.430000007,26.06999969,2.569999933,7.630000114,96.62999725,51732.17,3.630000114,30900,1293,45400,366,1600,6700,410,0.676470578,1
0.469999999,16.45000076,2.970000029,6.829999924,96.69999695,49718.16,3.480000019,42100,214,85200,42,532,26200,33,0.924855471,2
0.469999999,44.66999817,3.470000029,6.159999847,96.45999908,43283.78,4.789999962,15300,50,28400,27,120,4200,21,0.354838699,1
